replication,n_synthetic,synthetic_source,mechanism,target_missing_rate,observed_missing_rate,method,n_imputed_datasets,runtime_seconds,ari_true_gmm_vs_benchmark,ari_vs_full_data_kmeans,centroid_error_mean,centroid_error_max,cluster_size_error_mean_abs,silhouette
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.09895,random_forest,1,7.3838381678797305,0.948682665021949,0.9931228811275783,0.028089157656777258,0.05734334743429236,0.0010000000000000009,0.57230936445306
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.303475,random_forest,1,6.503876368980855,0.948682665021949,0.985052157007049,0.08993539768967976,0.1955453744214803,0.0020000000000000018,0.5777819342145267
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.4979,random_forest,1,9.99366789124906,0.948682665021949,0.9487377023114268,0.12522969449387014,0.19624362053849306,0.0064000000000000055,0.584849421797951
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.098125,random_forest,1,4.9896515952423215,0.948682665021949,0.9932757324060021,0.010366504499068658,0.02340588430396604,0.0008000000000000007,0.5723009749199394
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.30135,random_forest,1,6.585470566060394,0.948682665021949,0.9815703827268216,0.04810196283742744,0.14384329974601734,0.0010000000000000009,0.5631080062589489
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.5032,random_forest,1,8.19147885311395,0.948682665021949,0.8864312203140957,0.0807776030784903,0.18778593406647995,0.0036000000000000034,0.5543056760236053
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.101075,random_forest,1,4.885010379832238,0.948682665021949,0.9915991197877737,0.012193038117120079,0.017918817337949543,0.0006000000000000005,0.5712187411527905
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.2999,random_forest,1,8.806823391932994,0.948682665021949,0.9485735916576982,0.06493284688486363,0.11548885180976981,0.004400000000000004,0.5624083603424985
1,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.49955,random_forest,1,7.458899651188403,0.948682665021949,0.9605928691458369,0.07953737533931461,0.1430576150194823,0.003400000000000003,0.5962666165125862
2,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.103125,random_forest,1,5.011034382041544,0.948682665021949,0.9942757759994308,0.019510384191155764,0.031029470988101573,0.00040000000000000034,0.5708598580642986
