mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_centroid_error,mean_cluster_size_error,mean_silhouette,mean_runtime_seconds
MAR,0.1,kpod,0.9491768361857468,0.00531446352032986,0.055102615718040864,0.0017888000000000012,0.5684003977467187,1.7514869939628988
MAR,0.2,kpod,0.8377718243772853,0.010324811912276292,0.16692349557290873,0.003969760000000001,0.5538514626596808,2.382110583309084
MAR,0.3,kpod,0.6479146400157793,0.022468506370927857,0.4207696110000423,0.0121416,0.5102184357447891,3.137196259420365
MAR,0.4,kpod,0.48435635619620565,0.01487678401595099,0.7050927290601179,0.012149920000000002,0.479598666082796,3.1523670154158028
MAR,0.5,kpod,0.4335166661793907,0.013922395616922151,0.9820650001796423,0.0864688,0.5277087893320394,4.330814544837922
MCAR,0.1,kpod,0.963547645919477,0.004197361787620003,0.09321997332550244,0.003816159999999996,0.5838508173177391,1.285581960991025
MCAR,0.2,kpod,0.9269848781219407,0.005350823371548218,0.1721884975178075,0.0068377599999999965,0.5991161870807015,1.5097076592035592
MCAR,0.3,kpod,0.877517096407994,0.007501297362817099,0.27546388771280944,0.011595359999999997,0.6130619870146714,1.6709164218008519
MCAR,0.4,kpod,0.8161712117331515,0.008810241994669038,0.3928828303798175,0.017591679999999995,0.6269999666961864,2.0725158736594023
MCAR,0.5,kpod,0.7390741206091485,0.010206042116218972,0.5293191108954542,0.025283039999999996,0.6414479620526568,2.547993841905147
MNAR,0.1,kpod,0.9544124894998981,0.004876955364723582,0.12266475286381828,0.0016102399999999982,0.5669797304086456,1.8526551049798727
MNAR,0.2,kpod,0.7899014354098303,0.01899531249799394,0.41709198817482135,0.011577440000000003,0.5228141652084042,3.120914256218821
MNAR,0.3,kpod,0.5141720981763087,0.01424287238320539,0.8863756053091438,0.039564480000000006,0.4563713111510481,3.0463329896647484
MNAR,0.4,kpod,0.415984558200835,0.005856193540444898,1.198588525265654,0.04283472000000001,0.4622474229900923,3.0263940754067153
MNAR,0.5,kpod,0.43996274804600266,0.015789541733605843,1.3838910956222188,0.10077552,0.5248924628086288,4.0864886854924265
