mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_centroid_error,mean_cluster_size_error,mean_silhouette,mean_runtime_seconds
MAR,0.1,knn,0.9813763082145769,0.004114405132298856,0.016007270486016398,0.0015350400000000036,0.5655620823809342,1.1741657176092266
MAR,0.2,knn,0.8620815402363754,0.015485533554984943,0.14786701704195046,0.016928960000000003,0.4678377598186168,1.9106896654497831
MAR,0.3,knn,0.7200600893036484,0.018015386993229538,0.3145835141441991,0.034182880000000006,0.38083004645754437,3.06027742173709
MAR,0.4,knn,0.4830593286320109,0.0121377182414201,0.6069888808875409,0.06287936000000001,0.2851567972757816,4.373832051213831
MAR,0.5,knn,0.400720568613715,0.01293268873920684,0.862878503787233,0.036869280000000004,0.2067888250825025,4.75076625998877
MCAR,0.1,knn,0.9912472513082488,0.0021843462057364806,0.0222654281757182,0.0006203199999999998,0.5715318459393346,1.3782083391211928
MCAR,0.2,knn,0.9728276501601009,0.004294401136391035,0.056666588556266856,0.0012895999999999997,0.5726533146412355,1.9385819428861142
MCAR,0.3,knn,0.9396640386732886,0.005517937946041614,0.19005775358406474,0.0034910399999999965,0.5416167714488166,2.3763609651513398
MCAR,0.4,knn,0.889396696191375,0.006268925028757697,0.47411799515184105,0.006538879999999995,0.45886195180166756,2.931498611697927
MCAR,0.5,knn,0.7933676100423002,0.010533054000302104,0.924951928178315,0.005884799999999996,0.32928934008480243,3.7082407920602707
MNAR,0.1,knn,0.986039825934056,0.002881087637658123,0.03417466361792138,0.0010705600000000034,0.5655673996552478,1.2775263063777238
MNAR,0.2,knn,0.901906125027406,0.014046495922158854,0.17846640381889334,0.011166080000000002,0.4674043905997232,1.8700300514865666
MNAR,0.3,knn,0.6086473128179106,0.01732864217465962,0.4529003545974975,0.0468352,0.3566600716433342,2.578737891521305
MNAR,0.4,knn,0.43879225368975533,0.004306105943630948,0.7139295887968402,0.07219696,0.29153954199519805,3.6527983728274704
MNAR,0.5,knn,0.3993230763329102,0.002653813391964509,0.9139446742576744,0.06606400000000001,0.23169607901676953,4.492449998833239
