mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_ari_rubin_se,mean_centroid_error,mean_centroid_error_rubin_se,mean_cluster_size_error,mean_cluster_size_error_rubin_se,mean_silhouette,mean_silhouette_rubin_se,mean_runtime_seconds
MCAR,0.1,mice_pmm,0.983109706,0.014499713,0.008963076,0.11460141,0.019391282,0.002364706,0.012054507,0.559150587,0.020108895,20.06819071
MCAR,0.2,mice_pmm,0.963864049,0.017919037,0.015539991,0.198335504,0.029117506,0.004669804,0.012159798,0.552327583,0.020381578,21.73097714
MCAR,0.3,mice_pmm,0.941841852,0.022198376,0.020590974,0.289060997,0.03845836,0.006756471,0.012247788,0.543960512,0.020837817,23.43429976
MCAR,0.4,mice_pmm,0.908696727,0.024624015,0.025941663,0.397975707,0.050705596,0.008904314,0.012330852,0.53462849,0.021549846,24.08561057
MCAR,0.5,mice_pmm,0.856383614,0.031154735,0.032459409,0.550306382,0.072228013,0.012052549,0.01265889,0.520773551,0.022734424,25.43402913
MAR,0.1,mice_pmm,0.974220834,0.017638907,0.011968025,0.063658399,0.014622113,0.003071373,0.012100085,0.554941979,0.01981178,18.58330889
MAR,0.2,mice_pmm,0.942806726,0.020188331,0.019810271,0.127066886,0.023570817,0.005534118,0.012288067,0.53386654,0.019838847,19.94602477
MAR,0.3,mice_pmm,0.888015486,0.025672865,0.025671209,0.212478532,0.03175554,0.006548627,0.012489338,0.500179809,0.02044788,21.53820652
MAR,0.4,mice_pmm,0.792315686,0.039696416,0.037583574,0.33380145,0.052742692,0.008813333,0.013262254,0.460725988,0.021815419,22.08038786
MAR,0.5,mice_pmm,0.657029203,0.051500956,0.046953807,0.561499965,0.083035908,0.014965098,0.014709686,0.419742247,0.022800625,23.32691825
MNAR,0.1,mice_pmm,0.988509436,0.010586476,0.00805539,0.119709492,0.017543236,0.001695686,0.0120377,0.55852932,0.019827119,20.35164641
MNAR,0.2,mice_pmm,0.957516335,0.018736799,0.018251738,0.229381195,0.036210659,0.004296863,0.012207757,0.534491628,0.020063432,21.95515604
MNAR,0.3,mice_pmm,0.893790787,0.028315735,0.025865574,0.369475733,0.053157114,0.007218039,0.012502017,0.494878588,0.021166613,23.53587534
MNAR,0.4,mice_pmm,0.777264022,0.060085213,0.044631247,0.58964401,0.089439276,0.014375686,0.01408675,0.445482669,0.024056389,24.13498582
MNAR,0.5,mice_pmm,0.608771279,0.062376616,0.047862078,0.983629979,0.09857096,0.021051373,0.015436388,0.403190998,0.022096682,25.42552832
