mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_centroid_error,mean_cluster_size_error,mean_silhouette,mean_runtime_seconds
MAR,0.1,knn,0.9746942683436465,0.01920593154613197,0.06412013637129713,0.0030745098039215656,0.5660399668659944,0.009067908323835581
MAR,0.2,knn,0.9124965875918609,0.03664857326148884,0.13990760702822866,0.010647058823529409,0.5456098989469682,0.010773950867820532
MAR,0.3,knn,0.7629522316425076,0.0706310054598553,0.3291856899237985,0.0292235294117647,0.43975939836362204,0.01217062958329916
MAR,0.4,knn,0.6243962985481188,0.08857197535020844,0.5916953499439586,0.03350196078431372,0.32129526164595223,0.01193942751456052
MAR,0.5,knn,0.5242654746123453,0.0820068009600767,0.8288365499589372,0.0275843137254902,0.2542372332353455,0.013009026456158607
MCAR,0.1,knn,0.9854090051064452,0.015306258496802597,0.12168768461584673,0.002262745098039215,0.5727080928946007,0.009285424703266472
MCAR,0.2,knn,0.9645647343700935,0.02298852132779221,0.20194656003659633,0.004717647058823529,0.5776931313382481,0.010929584394209086
MCAR,0.3,knn,0.9340212218195254,0.03233097908359891,0.3140344022619521,0.0075882352941176465,0.5635273636866975,0.012338216634467243
MCAR,0.4,knn,0.8971216994583964,0.04195235923152432,0.5385558563616314,0.010537254901960787,0.5052245449808098,0.011529435620643198
MCAR,0.5,knn,0.8405774535535623,0.04918918822865595,0.9356700857195409,0.01350588235294118,0.4068975584808714,0.011830303518101572
MNAR,0.1,knn,0.9852055473003338,0.01583731284547082,0.11755386604706114,0.0023294117647058806,0.5707232772570289,0.009219565631821752
MNAR,0.2,knn,0.9375692274262124,0.030641825571661695,0.2380785485974989,0.008333333333333331,0.5461049325330048,0.010859643592499196
MNAR,0.3,knn,0.726394484115055,0.07984927040798301,0.5246548395654361,0.030831372549019607,0.41604169759673265,0.012333278852514923
MNAR,0.4,knn,0.48167701883785424,0.0367202835278597,0.8858987556248574,0.06346274509803922,0.3131185489789208,0.011631164730526507
MNAR,0.5,knn,0.41293987631843815,0.02019202152805876,1.1525357622585042,0.05713725490196078,0.2469820714613969,0.01218463016115129
