mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_centroid_error,mean_cluster_size_error,mean_silhouette,mean_runtime_seconds
MAR,0.1,median,0.9275499082676465,0.03039248276184079,0.41028713981175013,0.0057725490196078415,0.3771224762730994,0.0020264442563056946
MAR,0.2,median,0.7847821607592995,0.07164889540429864,0.7611601178124127,0.01431764705882353,0.29491249709597206,0.0020406972956843674
MAR,0.3,median,0.6275184488664319,0.07205557820075528,1.0994887397781403,0.020098039215686272,0.24920719646626813,0.002055291340686381
MAR,0.4,median,0.5197753741025452,0.05368110926288066,1.5756338000666539,0.044992156862745096,0.2571297671525008,0.002069166142027825
MAR,0.5,median,0.47625989569618493,0.03282801834370907,2.5640611642157864,0.09757647058823529,0.3501805852773092,0.002076810956466943
MCAR,0.1,median,0.9414129954725688,0.027395563422629093,0.5871323112493352,0.0072313725490196065,0.42346087436880203,0.0020069385501556096
MCAR,0.2,median,0.9020948556427766,0.033107675895680026,1.0140439182943748,0.010941176470588234,0.3463799921939097,0.002019668070599437
MCAR,0.3,median,0.8453584591375783,0.04226929256666484,1.4175650315111197,0.016262745098039218,0.29366474008075194,0.0020305592925287785
MCAR,0.4,median,0.7630641004747367,0.054741458796588226,1.877273761544505,0.025498039215686278,0.25598234533030645,0.0020433405353687704
MCAR,0.5,median,0.6582773909428538,0.06859713816924135,2.396459582648964,0.03857254901960785,0.231460112784108,0.0020459894090890884
MNAR,0.1,median,0.9189860200660034,0.04312039234288416,0.4695274629103192,0.006596078431372548,0.3663176147589442,0.002030997667461634
MNAR,0.2,median,0.7185505786348331,0.0948428030094282,0.8682502895976725,0.023905882352941176,0.27859059190703456,0.0020399715565145014
MNAR,0.3,median,0.5535774823985715,0.08032014458508951,1.1986040126782893,0.025968627450980393,0.23829228806829422,0.0020536238397471608
MNAR,0.4,median,0.5331982599843207,0.035087953810563455,2.232815659267387,0.08590980392156862,0.37527468017177107,0.0020617285328917204
MNAR,0.5,median,0.5284252100092136,0.015097149763150085,2.7728872623970875,0.10366666666666667,0.41281256043225567,0.002072090535890311
