mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_centroid_error,mean_cluster_size_error,mean_silhouette,mean_runtime_seconds
MAR,0.1,random_forest,0.9842607069848833,0.016922183138376345,0.04484937594972555,0.0018666666666666645,0.5625074465949279,3.6411690328065305
MAR,0.2,random_forest,0.9625423873696439,0.02214955570866453,0.08734645358024343,0.003784313725490194,0.5578271668843597,5.239339314687066
MAR,0.3,random_forest,0.9336847710296508,0.027189964108381592,0.13165392439282625,0.004415686274509803,0.553123036946511,7.089896198898554
MAR,0.4,random_forest,0.8990002624240199,0.039754842296948735,0.18779897438530588,0.005792156862745098,0.5493004076893645,8.507968584663235
MAR,0.5,random_forest,0.8370399250365496,0.06603647131272891,0.30333254069548365,0.011270588235294117,0.538413388535914,10.362595109438523
MCAR,0.1,random_forest,0.9910086839881773,0.013199311869533107,0.08970340416537526,0.0014980392156862734,0.5676877955830604,3.8825677700396626
MCAR,0.2,random_forest,0.977081690395137,0.019712140050906525,0.15829826802016897,0.003552941176470587,0.5701177506324716,4.860664528175257
MCAR,0.3,random_forest,0.9633807402004512,0.022439150411936264,0.22493217312228186,0.005341176470588234,0.5722722753421594,6.229071793712675
MCAR,0.4,random_forest,0.9448792865976429,0.025796008103454844,0.3017486195369543,0.006807843137254902,0.5735701269468546,8.500183454139158
MCAR,0.5,random_forest,0.9185967901285124,0.031300353760435926,0.3944167234619146,0.008572549019607844,0.5750988075685134,12.467112290256656
MNAR,0.1,random_forest,0.9901137111868947,0.011836012315346487,0.09160093268009395,0.0016392156862745086,0.5664877918004946,3.6285527908960358
MNAR,0.2,random_forest,0.9720396758034618,0.019642907284992107,0.14846257473263666,0.0031803921568627457,0.5633694057443009,5.353209197472781
MNAR,0.3,random_forest,0.9414705820910624,0.031307259495805415,0.21701249104604933,0.005086274509803925,0.559810975472894,7.002492016113363
MNAR,0.4,random_forest,0.8946916254796533,0.055939900417370965,0.33704080308240597,0.008784313725490201,0.5472385148921632,9.018537384321913
MNAR,0.5,random_forest,0.7829642022532736,0.102502692905478,0.6411649394932125,0.017356862745098043,0.5139897073596141,11.124313212120905
