mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_centroid_error,mean_cluster_size_error,mean_silhouette,mean_runtime_seconds
MAR,0.1,random_forest,0.991916452,0.003153056,0.011558669,0.0005488,0.56998322,6.117073078
MAR,0.2,random_forest,0.982284572,0.004982004,0.019858065,0.0010676,0.569283021,7.452574787
MAR,0.3,random_forest,0.96230144,0.00908068,0.033123252,0.0025428,0.566610024,8.237691411
MAR,0.4,random_forest,0.931846309,0.018163369,0.057088548,0.0048092,0.561520231,9.051840234
MAR,0.5,random_forest,0.875258914,0.034219164,0.098775663,0.0077728,0.550097333,9.930177571
MCAR,0.1,random_forest,0.99389502,0.00297293,0.02445441,0.0006672,0.571699076,6.110771039
MCAR,0.2,random_forest,0.987838887,0.003773867,0.046369931,0.0012644,0.574837625,7.552184789
MCAR,0.3,random_forest,0.980178721,0.004575396,0.067203404,0.0017768,0.578383374,7.929567355
MCAR,0.4,random_forest,0.96944161,0.005658287,0.09312572,0.002424,0.581839303,9.138090897
MCAR,0.5,random_forest,0.950638828,0.007890765,0.1324013,0.0035188,0.584187856,10.44394092
MNAR,0.1,random_forest,0.991029171,0.003684414,0.018145221,0.0009024,0.571257527,5.955778897
MNAR,0.2,random_forest,0.977536572,0.006004448,0.031288733,0.0023584,0.571614766,7.279765503
MNAR,0.3,random_forest,0.955738677,0.013456124,0.049126008,0.0047972,0.5715311,7.659478275
MNAR,0.4,random_forest,0.934226707,0.039206378,0.078194685,0.0068716,0.571351671,8.459420103
MNAR,0.5,random_forest,0.893391349,0.069427242,0.134847831,0.0097132,0.560047161,9.247933964
