mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_centroid_error,mean_cluster_size_error,mean_silhouette,mean_runtime_seconds
MAR,0.1,kpod,0.9489807316302098,0.009143132595930418,0.0611470126695641,0.002410000000000002,0.5728438619719796,0.8607500264244154
MAR,0.2,kpod,0.8228109821268323,0.022806896778646668,0.1956917106060723,0.007352400000000003,0.5522834297031747,1.2482431399300695
MAR,0.3,kpod,0.6516079594194634,0.024569632358078585,0.39945583161023707,0.009663200000000002,0.5182413477176163,1.51611187110655
MAR,0.4,kpod,0.5014754775014553,0.025163506285733363,0.6465005932486575,0.009788800000000002,0.490741333604039,1.6606864619851112
MAR,0.5,kpod,0.4374797060570795,0.030931996020964702,0.8517308492396811,0.043146000000000004,0.4994615498649899,2.289929591635242
MCAR,0.1,kpod,0.9661765188931394,0.006261064167846699,0.1070902436300355,0.0035760000000000006,0.5881201290337665,0.6451999300224707
MCAR,0.2,kpod,0.9295709718500358,0.009020543353544708,0.18306626102938717,0.006295200000000002,0.6033711134767354,0.7545204802816734
MCAR,0.3,kpod,0.8808352786296577,0.012428222427170989,0.27438505145651093,0.010272000000000002,0.6173237648902831,0.8998810175675899
MCAR,0.4,kpod,0.8174829668533082,0.01475955250889717,0.39124293645638997,0.015601200000000003,0.6301004751297956,1.0988319969279692
MCAR,0.5,kpod,0.7347033354595854,0.01852172827804411,0.5370988011716908,0.02327,0.6417461462159523,1.454394869266078
MNAR,0.1,kpod,0.9609876842031425,0.007278150659976996,0.1224085067427681,0.0020684000000000015,0.5742583464852961,0.8777884785942733
MNAR,0.2,kpod,0.7798353477766914,0.033783536350469594,0.4296074855570842,0.013458399999999997,0.5247808664407357,1.3573739727586507
MNAR,0.3,kpod,0.5572323193490191,0.023587028801193743,0.8084150236100085,0.026744800000000003,0.4760038766962278,1.431831877933815
MNAR,0.4,kpod,0.4261121695306319,0.015257524184974362,1.1494538870322046,0.029473199999999998,0.4621979462837938,1.596879932078533
MNAR,0.5,kpod,0.43572342820554383,0.017097368325644055,1.3437049853853056,0.10057640000000001,0.5205816149616628,2.049868283948861
