mechanism,target_missing_rate,method,mean_ari,sd_ari,mean_centroid_error,mean_cluster_size_error,mean_silhouette,mean_runtime_seconds
MAR,0.1,median,0.90883729,0.018506442,0.347354003,0.0072876,0.390606455,0.003645217
MAR,0.2,median,0.75809458,0.026525966,0.690710173,0.0162232,0.302029538,0.003686378
MAR,0.3,median,0.600941835,0.024600575,1.00033445,0.0174608,0.243430418,0.003716257
MAR,0.4,median,0.469548173,0.02390358,1.316217599,0.0131644,0.207785101,0.003739262
MAR,0.5,median,0.434230103,0.042935462,1.897264194,0.0572728,0.258158506,0.003732928
MCAR,0.1,median,0.957021155,0.006520891,0.460933646,0.0027152,0.438455442,0.00365699
MCAR,0.2,median,0.917630541,0.009875766,0.891544918,0.0057256,0.363503451,0.003694914
MCAR,0.3,median,0.869175062,0.0133235,1.304190685,0.0094708,0.311019952,0.003720513
MCAR,0.4,median,0.808682319,0.015355238,1.703698701,0.014758,0.272339802,0.003741819
MCAR,0.5,median,0.729042915,0.018842657,2.117153031,0.022614,0.245363606,0.00373817
MNAR,0.1,median,0.896396845,0.021525045,0.383346675,0.0081496,0.380060183,0.00367241
MNAR,0.2,median,0.685819659,0.034041986,0.769486697,0.02751,0.280321781,0.003714169
MNAR,0.3,median,0.500457801,0.020580408,1.088034367,0.040612,0.215672728,0.003734515
MNAR,0.4,median,0.408449473,0.009437813,1.357368056,0.033488,0.185423248,0.003755905
MNAR,0.5,median,0.528880712,0.007882338,2.647845089,0.1027092,0.462324445,0.003756675
