kmeans_full_data_cluster,n,pct,totalmins_count,totalmins_mean,totalmins_median,logindays_count,logindays_mean,logindays_median,loginwks_count,loginwks_mean,loginwks_median,pageviews_count,pageviews_mean,pageviews_median,posts_count,posts_mean,posts_median,ptp_count,ptp_mean,ptp_median,ate_count,ate_mean,ate_median,totaldays_count,totaldays_mean,totaldays_median,act_wkpv_count,act_wkpv_mean,act_wkpv_median,dur_wkpv_count,dur_wkpv_mean,dur_wkpv_median,act_ptp_count,act_ptp_mean,act_ptp_median,dur_ptp_count,dur_ptp_mean,dur_ptp_median,act_ate_count,act_ate_mean,act_ate_median,dur_ate_count,dur_ate_mean,dur_ate_median,sdwkpv_count,sdwkpv_mean,sdwkpv_median,sdptp_count,sdptp_mean,sdptp_median,sdate_count,sdate_mean,sdate_median,rate_wkpv_count,rate_wkpv_mean,rate_wkpv_median,rate_ptp_count,rate_ptp_mean,rate_ptp_median,rate_ate_count,rate_ate_mean,rate_ate_median
1,1240,24.8,1240,0.17620124882566068,0.00019789024191557963,1240,0.015891369498429436,0.0,1240,0.022193711959964554,8.609066216070466e-05,1240,0.1725305587361735,0.00028533560140061204,1240,0.0003752311409454815,0.0,1240,0.00027295692188162847,0.0,1240,0.00031252212036244465,0.0,1240,0.4225692866991892,0.0002415720360996458,1240,0.02218718925309595,7.206241828285244e-05,1240,0.015264400102057337,0.0,1240,0.0002054625655850549,0.0,1240,0.0002949310895294199,3.6342223604499457e-06,1240,0.00025841814881773575,4.897612438555473e-05,1240,0.0003086560483154107,0.0,1240,0.04861310226482435,0.0,1240,8.651742996777067e-05,0.0,1240,9.465636871981593e-05,0.0,1240,0.08479975988817944,1.4089255228592106e-05,1240,9.108186527526536e-05,0.0,1240,9.472935617774293e-05,0.0
2,460,9.2,460,440.78919147624833,199.1856732365547,460,13.897329828560501,11.905230519333816,460,7.830427369450165,6.858781482475219,460,463.6756336729694,287.2405799264155,460,3.001117916987894,2.6288477283511043,460,2.7732094048118934,2.56842529772194,460,0.30024641246552075,0.1600947730457186,460,94.17322900436903,85.04046317701983,460,8.109697522689252,7.479361236610805,460,13.268952417643906,12.258325126519651,460,1.8547884545266615,1.7701716561872074,460,2.9936416728178927,2.3012652753524017,460,0.29330492828081633,0.15917958596767107,460,0.29978059570053156,0.1592634737986997,460,40.855464567406166,29.683500620856925,460,0.4844403052064185,0.4709123058547606,460,0.07324425662049563,0.046017337189398516,460,0.633129005060505,0.6215533247766009,460,0.8680730371022747,0.8325114743485466,460,0.2741298900324853,0.15955386706309535
3,542,10.8,542,299.12563356627214,224.55973641399575,542,17.38811238406312,15.085968875805285,542,9.445973419487887,8.230213400884795,542,397.930848619757,329.47645278140067,542,4.287811036008974,3.6968689348311505,542,0.15836085089879828,0.05817975992803058,542,4.145689583934837,3.548224960492348,542,98.87366725080336,93.87358067358646,542,9.302774333463415,8.159133683136622,542,14.620909706164126,12.41088250752626,542,0.15395307172630493,0.05902981729831571,542,0.18168427153780203,0.05403073796485269,542,2.707391842354179,2.4256849017688156,542,5.136582067235989,3.900077687322985,542,34.963466844872194,31.601640429031722,542,0.04191320195490446,0.01658571944173146,542,0.5860620428647632,0.5584113033905903,542,0.6903762709730618,0.6647567960888493,542,0.16291301648262707,0.05835571427477161,542,0.7346399899256432,0.699005664490281
4,561,11.2,561,754.2306891787608,556.7692841924921,561,34.191394626959735,28.614150117038864,561,11.798256052025351,10.839360027228562,561,1022.2062654269791,790.6738472717232,561,15.751326427256851,14.093427948592845,561,6.976251840567192,5.460936642371813,561,8.81201880986623,7.8065492646038095,561,100.19560359150809,93.51902496728343,561,11.706758670987265,10.829913095730115,561,14.551602113525178,13.854689170574936,561,3.4482612285650616,2.910494353732327,561,7.925791520759184,5.3167771936459,561,4.016655752466036,3.5510828035944124,561,8.678131118320438,6.46719222163956,561,83.42207035119627,67.90376921335327,561,0.9099472060993604,0.8107333032916157,561,1.1505117958852922,1.0691477097790836,561,0.7964097875334548,0.79824016056135,561,0.6750038976133517,0.6432149615947811,561,0.6230192272703384,0.6124224403065412
5,2197,43.9,2197,82.03892555573634,32.86966997358906,2197,3.8216608247437915,2.9882761221868814,2197,2.932642764706951,2.4956633051059893,2197,191.22390268679644,59.05161461589021,2197,0.001842270706825175,2.1480528447206205e-05,2197,0.0007638675127067836,1.5080991293517998e-05,2197,0.0015723040929065616,2.5577825817081076e-05,2197,63.015261538964694,32.508107542011004,2197,2.932979301154886,2.4985854363677404,2197,6.124711368312632,4.153228207984819,2197,0.0006320969211486648,6.725902373756244e-06,2197,0.0006898702226963844,1.0855803878719859e-05,2197,0.002046568636423331,0.0,2197,0.0036391135371364883,4.300586442911465e-05,2197,22.592807110202386,11.15497712862279,2197,0.0002810473796923519,0.0,2197,0.000493215372714994,0.0,2197,0.7159852751391982,0.6877068027878619,2197,0.00130615245685885,0.0,2197,0.0028981179569081096,8.440053170394466e-06
