base_random_state,method,mechanism,target_missing_rate,missingness_logit_slope,n_replications,mean_observed_missing_rate,sd_observed_missing_rate,min_observed_missing_rate,max_observed_missing_rate,mean_ari,sd_ari,min_ari,max_ari,mean_centroid_error,sd_centroid_error,min_centroid_error,max_centroid_error,mean_centroid_error_max,sd_centroid_error_max,min_centroid_error_max,max_centroid_error_max,mean_cluster_size_error,sd_cluster_size_error,min_cluster_size_error,max_cluster_size_error,mean_silhouette,sd_silhouette,min_silhouette,max_silhouette,mean_runtime_seconds,sd_runtime_seconds,min_runtime_seconds,max_runtime_seconds
101,kpod,MAR,0.3,-2.5,30,0.30023733333333336,0.0008102827660264848,0.29873,0.30219,0.415701942182979,0.0032829358234346623,0.4103885181775177,0.42285786901687183,0.8863760396736422,0.0115440995988849,0.8633701247282328,0.9080083980085243,3.1469508733354177,0.03599722722836419,3.0447791217358335,3.2052641378007594,0.04772,0.0038116047846652144,0.038400000000000004,0.055600000000000004,0.42639126733619914,0.004113403383371791,0.4147037257704624,0.43613194434366426,2.776821971591562,0.27620580454415883,2.501170597039163,3.564418502151966
101,kpod,MAR,0.3,-2.0,30,0.300128,0.0008404325651423353,0.29867,0.30251,0.4373046401134778,0.007484832496869974,0.42768009722100736,0.4565297738514588,0.7998230649995134,0.029352092486403476,0.720390155652378,0.8444047437761991,2.7535019468056494,0.08095055506101823,2.5094009278332536,2.8833098941714237,0.042957333333333333,0.006171631949455525,0.02856000000000001,0.05344,0.43060951163728695,0.0037746149900266604,0.4188037768446837,0.4386683423580203,2.9752966792012256,1.1376302116131827,2.494989987462759,7.228609038516879
101,kpod,MAR,0.3,-1.25,30,0.29986333333333337,0.0008349616275854972,0.29794,0.30208,0.6429077570417042,0.02058282335044222,0.5957618748080455,0.6810972923415931,0.43423267266512955,0.048001676922918866,0.3371395899614995,0.5382213123015129,1.1797925812094587,0.1579130172151358,0.8821153703732211,1.5452333862668433,0.013000000000000003,0.005400945000326491,0.0028799999999999963,0.023679999999999996,0.5080701346518148,0.0087919322424897,0.4871663726960174,0.5256273990254496,2.8790382561584313,0.8338368566800871,2.3693265533074737,7.194850431755185
101,kpod,MAR,0.3,-0.75,30,0.29980533333333337,0.0010858295202868838,0.29816,0.30309,0.7936318151833144,0.008545151636500417,0.7766336321149911,0.8077210413373662,0.25043336870938215,0.020728964835901906,0.21039463075345055,0.2955667732653769,0.32438613735219646,0.04231626808166078,0.26541651025594226,0.44079103851075935,0.006458666666666664,0.0013613678043976857,0.003439999999999996,0.009040000000000001,0.575415319775747,0.004022025780232937,0.567971910166043,0.5833301467374977,2.2419135898972553,0.13781514562102715,1.9273580443114042,2.556243917904794
101,kpod,MAR,0.3,-0.5,30,0.29973,0.0010779706348761058,0.29788,0.30273,0.8344176980431098,0.009531016664004133,0.8195280685141006,0.8571601718193131,0.24249497660633568,0.02998668478166091,0.17736185570329374,0.31044225338110026,0.35198684600812213,0.0593739902710827,0.2727005259467016,0.5660065123114745,0.007711999999999997,0.0018666850573806706,0.0043999999999999985,0.011759999999999998,0.5923258611540329,0.0035921948185101693,0.5856951702669477,0.6019972983581462,1.949395638362815,0.10202395354246391,1.751426411792636,2.12926525529474
101,kpod,MAR,0.4,-2.5,30,0.40020900000000004,0.0011028844626392368,0.39737,0.40179,0.4532352502744114,0.0024454183191070303,0.4475672764915807,0.458017771300531,1.1582999256657607,0.015878644763449058,1.1317559635205987,1.194317596926922,3.696322321426344,0.033828094859877485,3.633511264586235,3.7690448650655846,0.12281866666666667,0.0019163970025191477,0.11976,0.12704,0.4811444989202813,0.0021103749294254445,0.47638492867643656,0.48524277914663405,4.673918436064074,0.833984950104553,4.016939338296652,8.810150567442179
101,kpod,MAR,0.4,-2.0,30,0.400112,0.001297986238702893,0.39719,0.40195,0.40434224612837455,0.01753788926461352,0.3870758949903724,0.4510337694400039,1.0229217261194072,0.03127214194671812,0.967316631597452,1.1012085662602138,3.3119551521268464,0.06160643219685933,3.2066291698121256,3.431114301370738,0.061672,0.0242096894822628,0.02176,0.11904,0.47299425443973236,0.014583368655327106,0.43861684151149855,0.4904310517637581,3.3787726533288756,0.7696279193754433,2.8038505716249347,6.973462224937975
101,kpod,MAR,0.4,-1.25,30,0.40006800000000003,0.0014539563148586038,0.39723,0.40409,0.48293937303711487,0.016470747756802975,0.4517593124526779,0.532263867607626,0.7086250778707222,0.03762118753619732,0.5718894661182026,0.7665294815880964,2.0042714096967313,0.12767693813604192,1.5892671211009008,2.240950333612362,0.012610666666666668,0.004618188130554602,0.0048799999999999955,0.02568,0.47933716851654035,0.005761796828220787,0.4689325044959944,0.4955215222150745,3.0816816930038233,0.7743497707447536,2.6517359418794513,7.091106161475182
101,kpod,MAR,0.4,-0.75,30,0.3999046666666667,0.0013809859879269485,0.39591,0.40227,0.6745291668861425,0.01737102937016169,0.6393540106944696,0.7336807927416541,0.41107612103132724,0.04545546712833848,0.2727690830316839,0.46785011781484026,0.5924147070886274,0.09556765505753283,0.3554533721810681,0.8332901981400458,0.013119999999999996,0.003274040001440801,0.007119999999999996,0.02112,0.5668708335673093,0.007928463891130623,0.5490151501885151,0.5904381248400858,2.767406220175326,0.1969627151740874,2.499501682817936,3.486099863424897
101,kpod,MAR,0.4,-0.5,30,0.40000699999999995,0.0013677798522196175,0.39638,0.40243,0.7412436780551304,0.011554170238854576,0.717021662731187,0.7820077513371515,0.3763346003001233,0.044135442592489346,0.3042468229822954,0.46862129312181383,0.5601299268441033,0.10066476368430433,0.36396422236641546,0.7353409204011722,0.014509333333333329,0.002654919874540452,0.00944,0.018719999999999994,0.5950952307420219,0.0046565415857201115,0.5839605378393493,0.6089416929639146,2.4542623955135543,0.7297366868852648,2.0602289699018,6.246073184534907
