ID,cohort,trt,registered,activated,cluster,totalmins,logindays,loginwks,pageviews,posts,ptp,ate,totaldays,act_wkpv,dur_wkpv,act_ptp,dur_ptp,act_ate,dur_ate,sdwkpv,sdptp,sdate,rate_wkpv,rate_ptp,rate_ate
126,2.0,,,,2,10.45,3.0,3.0,45.0,0.0,0.0,0.0,36.0,3.0,3.0,0.0,0.0,0.0,0.0,6.1381164,0.0,0.0,1.0,0.0,0.0
138,5.0,,,,2,4.216666666666668,2.0,1.0,33.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,7.7781744,0.0,0.0,1.0,0.0,0.0
139,4.0,,,,2,14.46666666666667,1.0,1.0,128.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,30.16989,0.0,0.0,1.0,0.0,0.0
165,3.0,,,,2,4.95,1.0,1.0,2.0,0.0,0.0,0.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,0.47140452,0.0,0.0,1.0,0.0,0.0
167,5.0,,,,2,4.3,2.0,2.0,5.0,0.0,0.0,0.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,0.95828,0.0,0.0,1.0,0.0,0.0
170,3.0,,,,2,105.3333333333333,9.0,7.0,292.0,0.0,0.0,0.0,110.0,7.0,16.0,0.0,0.0,0.0,0.0,25.629845,0.0,0.0,0.4375,0.0,0.0
172,5.0,,,,2,46.98333333333333,1.0,1.0,15.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.535534,0.0,0.0,1.0,0.0,0.0
175,2.0,,,,2,34.2,3.0,3.0,81.0,0.0,0.0,0.0,57.0,3.0,6.0,0.0,0.0,0.0,0.0,8.7327795,0.0,0.0,0.5,0.0,0.0
177,3.0,,,,2,154.9,5.0,4.0,106.0,0.0,0.0,0.0,110.0,4.0,16.0,0.0,0.0,0.0,0.0,12.73203,0.0,0.0,0.25,0.0,0.0
185,5.0,,,,2,48.99999999999999,7.0,4.0,327.0,0.0,0.0,0.0,70.0,4.0,5.0,0.0,0.0,0.0,0.0,60.204796,0.0,0.0,0.8,0.0,0.0
204,5.0,,,,2,17.58333333333333,2.0,2.0,56.0,0.0,0.0,0.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,9.566418,0.0,0.0,1.0,0.0,0.0
213,5.0,,,,2,90.01666666666668,5.0,4.0,138.0,0.0,0.0,0.0,58.0,4.0,9.0,0.0,0.0,0.0,0.0,22.016037,0.0,0.0,0.44444445,0.0,0.0
215,5.0,,,,2,60.73333333333333,1.0,1.0,103.0,0.0,0.0,0.0,122.0,1.0,1.0,0.0,0.0,0.0,0.0,24.277332,0.0,0.0,1.0,0.0,0.0
219,4.0,,,,2,3.950000000000001,1.0,1.0,8.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8856181,0.0,0.0,1.0,0.0,0.0
226,3.0,,,,2,4.800000000000001,1.0,1.0,2.0,0.0,0.0,0.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,0.47140452,0.0,0.0,1.0,0.0,0.0
229,4.0,,,,2,102.7333333333333,4.0,3.0,380.0,0.0,0.0,0.0,29.0,3.0,3.0,0.0,0.0,0.0,0.0,56.75115,0.0,0.0,1.0,0.0,0.0
