ID,cluster,PC1,PC2
1,2,-2.509688795168974,-0.0583433040886556
8,2,-2.3775448842430027,0.05753632737136294
11,3,3.824206844871542,1.0984956525253426
14,4,5.886162475361399,-1.6719453602706926
17,4,7.039570712713333,-2.7594538275834712
20,1,3.638264801417898,-0.02373446578374743
21,2,0.03819184218946559,2.3653011085662516
25,5,-4.117921884302645,-1.9706184634784816
26,4,6.95371344741267,-4.187697811465164
27,5,-4.117921884302646,-1.9706184634784811
29,2,-0.5649218727120611,1.725514334430138
31,5,-4.117921884302646,-1.9706184634784822
34,5,-4.117921884302646,-1.970618463478482
37,2,-2.178563546409168,0.2549123376710728
39,5,-4.117921884302646,-1.9706184634784822
40,2,-1.5394545349082975,0.949874858209228
45,2,-2.5187114775449104,-0.17884847137360402
50,5,-4.117921884302646,-1.9706184634784822
58,2,-0.5444034704173033,1.791621229090164
70,5,-4.117921884302646,-1.970618463478482
72,2,-2.228836224340885,0.1425663452275491
79,2,0.41519792062747163,2.7326952711244434
80,5,-4.117921884302646,-1.9706184634784822
89,3,5.282975047556297,-0.9993140806063325
93,5,-4.117921884302646,-1.9706184634784822
95,2,0.2929712384117693,2.5477491145297995
97,2,-0.4683950761912072,1.8672509574503908
99,2,-0.31262387712851814,2.00336527762333
100,2,-0.36065554935758426,1.889350985968256
101,3,5.136019480474249,-1.1912857641050958
105,3,6.122993596291802,-1.0309616525583845
106,5,-4.117921884302646,-1.9706184634784822
116,5,-4.117921884302646,-1.9706184634784822
122,4,9.067670577646359,-3.509903918892157
126,2,-1.10410563593801,1.3217865041658052
128,4,7.939088072226325,-1.6335837014126458
137,5,-4.117921884302646,-1.9706184634784822
138,2,-2.0190652910411027,0.367023206487028
139,2,-1.657571622002368,0.8065537567079069
143,5,-4.117921884302646,-1.9706184634784822
161,5,-4.117921884302646,-1.9706184634784822
165,2,-2.3192278189549422,0.17924979634426402
167,2,-1.901845738147858,0.5057513230520259
168,4,6.999047994813159,-1.0245452160372708
170,2,0.3188181276724487,2.586604503400116
172,2,-2.118736456041946,0.2285983481678798
174,1,4.944632496974554,-0.6526521742075118
175,2,-0.8709871123047578,1.490777261332501
177,2,-0.2707001361465229,2.0169401044085267
178,5,-4.117921884302646,-1.9706184634784822
179,1,5.007014620539248,-0.3152563812504413
181,1,3.2459660099837313,2.092159810630729
185,2,-0.07944746884503107,2.3099656937509705
193,4,8.544714269967042,-2.0059466018485232
204,2,-1.348709250662992,1.0836925604544456
211,1,1.191038971792204,-0.14103831270141173
213,2,-0.332991690944018,1.9742372327042381
215,2,-1.197542170031031,1.4328831380662155
217,5,-4.117921884302646,-1.9706184634784822
219,2,-2.3737795034922446,0.030940234695691418
223,3,3.182245886979385,1.2247057009914408
224,1,3.692336866698471,0.5498204317850939
226,2,-2.366683445215922,0.10947500186982799
229,2,-0.3450871433734694,2.0868231596160443
231,5,-4.117921884302646,-1.9706184634784822
234,2,0.3022065198280695,2.5898844665770557
238,2,-0.7758373092048162,1.5388575762270709
239,2,-1.0886959118249093,1.276606158026648
245,3,3.833798404329437,1.9645751899553057
252,2,-0.6499732578190619,1.6712788915573087
256,5,-4.117921884302646,-1.9706184634784822
258,5,-4.117921884302646,-1.9706184634784822
259,3,2.5620889499250428,0.9160946056768619
263,2,0.42835731224836293,0.2613628624978488
264,2,-2.042310317179834,0.49783449296321824
266,3,3.2051820681579675,1.1065792976734687
268,1,1.4349983086279683,0.44316047801490427
270,5,-4.117921884302646,-1.9706184634784822
272,3,4.7889767750145635,0.5896606203972509
274,4,7.896191693729141,-2.554687183867641
281,5,-4.117921884302646,-1.9706184634784822
284,2,-1.8673463341217809,0.5870679684481825
286,1,3.554263881026112,0.5738540025907886
298,1,1.3317459332725394,-0.9577655849410248
299,2,-0.7466039413184906,1.5824951796341935
301,5,-4.117921884302646,-1.9706184634784822
303,2,-0.22919661971875263,2.10489823848667
308,3,4.420586057934737,1.092698936559147
309,2,-0.5736895729875356,1.7948660001632464
310,5,-4.117921884302646,-1.9706184634784822
314,2,-1.7864312122559562,0.6842867620941715
316,3,2.8013596848367563,0.6151148581479616
322,4,7.989821237679349,-2.360052643229162
323,5,-4.117921884302646,-1.9706184634784822
326,2,-0.4659857752814769,1.8106562235816395
328,3,2.4151478569457945,1.049847307682582
335,2,1.0859231451614262,3.337062639724293
336,5,-4.117921884302646,-1.9706184634784822
338,3,2.5697372309452233,2.125576479291454
341,2,-1.9940711199724621,0.5465847745918062
343,1,3.421493311232098,-0.10695828611513841
344,5,-4.117921884302646,-1.9706184634784822
345,2,-1.827430779665198,0.560293175952585
353,2,-2.308941169961445,0.20768920955938766
357,2,-1.3221402156396287,1.049172006373252
358,2,-0.7664280388708254,1.6079200322310514
360,2,-0.030307540971610748,2.2573225995067765
362,3,4.141232884965294,0.15940218807868478
365,5,-4.117921884302646,-1.9706184634784822
366,2,-1.1391838422134362,1.2356051956434597
