k,inertia,silhouette
2,1429.1356019715695,0.4969305659961435
3,963.6577370876597,0.5026727649445513
4,729.0958805488733,0.5079785569389943
5,538.4722723322903,0.5424393928378896
6,403.6755533544379,0.5411552797521679
7,324.0542324808382,0.553482591579994
8,291.8636475554718,0.553245283429894
